price,image,brand,title
Rs: 18399,https://static.daraz.pk/r677PGtl0mwkEdrcqbZFHz_7RqQ=/fit-in/220x220/filters:fill(white)/product/19/24466/1.jpg?7956,Samsung ,"Galaxy T560 Tab E - 9.6"" - 1.5GB - 8GB - Pearl White - Wifi Only"
Rs: 18390,https://static.daraz.pk/e6Px9yuRlD7WKDg3xKCC4ZLI7ks=/fit-in/220x220/filters:fill(white)/product/42/89766/1.jpg?6079,Samsung ,Galaxy Tab E - T560 - 9.6 Inch - 1.5GB RAM - 8GB ROM - Wifi - White
Rs: 18500,https://static.daraz.pk/C0Yx1tfLvWfOq4ImoG8P_DkXIfQ=/fit-in/220x220/filters:fill(white)/product/52/50666/1.jpg?3278,Samsung ,"T285 - 7"" - 8GB - 1.5GB RAM - 5MP - White - 3G"
Rs: 17899,https://static.daraz.pk/sKof0-rBRmgcBXD3bWSzI2czLcA=/fit-in/220x220/filters:fill(white)/product/47/31866/1.jpg?0297,Samsung ,"Galaxy T560 Tab E - 9.6"" - 1.5GB - 8GB - Black - WiFi  "
Rs: 14999,https://static.daraz.pk/Qyg2596ork-u52FTdBsRbbtwK74=/fit-in/220x220/filters:fill(white)/product/53/61866/1.jpg?2633,Samsung ,"Galaxy T280 - Tab A 7"" - 5MP - White"
Rs: 14999,https://static.daraz.pk/wP1x25vOpSJLSphTGelsYdOhZ_E=/fit-in/220x220/filters:fill(white)/product/05/23256/1.jpg?0284,Samsung ,"Galaxy Tab A 7.0"" - 1.5Gb - 8GB - Wi-Fi - White"
Rs: 14999,https://static.daraz.pk/21Klgyk9YN95lXkWXLI7dcI1DMU=/fit-in/220x220/filters:fill(white)/product/47/63266/1.jpg?3050,Samsung ,"Galaxy Tab A - 7.0"" - 1.5GB - 8GB - Wi-Fi - Black"
Rs: 17890,https://static.daraz.pk/xXw-1_Trb1B1S645qVxXn59wVYU=/fit-in/220x220/filters:fill(white)/product/61/89766/1.jpg?5920,Samsung ,Galaxy Tab E - T560 - 9.6 Inch - 1.5GB RAM - 8GB ROM - Wifi - Black
Rs: 17799,https://static.daraz.pk/VKoBJ3H6xlnc3xkOsDvIFPK_1oY=/fit-in/220x220/filters:fill(white)/product/71/50666/1.jpg?6138,Samsung ,"T285 - 7"" - 8GB ROM -1.5GB RAM - White"
Rs: 21000,https://static.daraz.pk/dTHCntKyVlKztn0WDMnWRV2g3mg=/fit-in/220x220/filters:fill(white)/product/57/44956/1.jpg?8139,Samsung ,"Galaxy Tab A (2016) - 7"" - SM-T285 - Black"
