title,brand,det_features,price_PKR,det_title,image
"Galaxy T560 Tab E - 9.6"" - 1.5GB - 8GB - Pearl White - Wifi Only",Samsung ,"Only Wifi Tablet (No Sim Supported),Type	TFT capacitive touchscreen, 16M colors,Size	9.6 inches (~73.9% screen-to-body ratio),OS	Android 5.1 (Lollipop),CPU	Quad-core 1.3 GHz,Internal	8/16 GB, 1.5 GB RAM",18399,"Samsung Galaxy T560 Tab E - 9.6"" - 1.5GB - 8GB - Pearl White - Wifi Only",https://static.daraz.pk/r677PGtl0mwkEdrcqbZFHz_7RqQ=/fit-in/220x220/filters:fill(white)/product/19/24466/1.jpg?7956
"Galaxy Grand Prime Plus - 5.0"" - 8GB - 1.5GB RAM - 8MP - Black",Samsung ,"Brand Warranty,Screen: 5 Inch Full HD Display,Processor: Quad-core 1.4 GHz Cortex-A53,OS: Android 6.0 (Marshmallow),Storage: 1.5GB RAM With 8GB ROM,SIM: Dual SIM",14299,"Samsung Galaxy Grand Prime Plus - 5.0"" - 8GB - 1.5GB RAM - 8MP - Black",https://static.daraz.pk/q0VBrTpRhaihE5Sd6ma1HzqlF7k=/fit-in/220x220/filters:fill(white)/product/98/07666/1.jpg?5256
Galaxy Tab E - T560 - 9.6 Inch - 1.5GB RAM - 8GB ROM - Wifi - Black,Samsung ,"Ram : 1.5GB,ROM : 8GB,Battery : 5000 MAh,Screen : 9.6 inches - 800 x 1280 pixels (~157 ppi pixel density)",17890,Samsung Galaxy Tab E - T560 - 9.6 Inch - 1.5GB RAM - 8GB ROM - Wifi - Black,https://static.daraz.pk/xXw-1_Trb1B1S645qVxXn59wVYU=/fit-in/220x220/filters:fill(white)/product/61/89766/1.jpg?5920
Galaxy Tab E - T560 - 9.6 Inch - 1.5GB RAM - 8GB ROM - Wifi - White,Samsung ,"No Warranty,Only Wifi Tablet (No Sim Supported),Ram : 1.5GB,ROM : 8GB,Battery : 5000 MAh,Screen : 9.6 inches - 800 x 1280 pixels (~157 ppi pixel
density)",18390,Samsung Galaxy Tab E - T560 - 9.6 Inch - 1.5GB RAM - 8GB ROM - Wifi - White,https://static.daraz.pk/e6Px9yuRlD7WKDg3xKCC4ZLI7ks=/fit-in/220x220/filters:fill(white)/product/42/89766/1.jpg?6079
"Galaxy T280 - Tab A 7"" - 5MP - White",Samsung ,"OS: Android (5.1),Screen Size 7.0 inches 800 x 1280 pixels,Camera: 5 megapixels,1.5 GB RAM,8 GB STORAGE,BATTERY 4000 mAh",14999,"Samsung Galaxy T280 - Tab A 7"" - 5MP - White",https://static.daraz.pk/Qyg2596ork-u52FTdBsRbbtwK74=/fit-in/220x220/filters:fill(white)/product/53/61866/1.jpg?2633
"Galaxy Tab A - 7.0"" - 1.5GB - 8GB - Wi-Fi - Black",Samsung ,"Versions: T280 (Wi-Fi only);,NETWORK	Technology,LAUNCH	Announced	2016, March,Status	Available. Released 2016, March,BODY	Dimensions	186.9 x 108.8 x 8.7 mm (7.36 x 4.28 x 0.34 in),Weight	283 g (9.98 oz)",14999,"Samsung Galaxy Tab A - 7.0"" - 1.5GB - 8GB - Wi-Fi - Black",https://static.daraz.pk/21Klgyk9YN95lXkWXLI7dcI1DMU=/fit-in/220x220/filters:fill(white)/product/47/63266/1.jpg?3050
"T285 - 7"" - 8GB - 1.5GB RAM - 5MP - White - 3G",Samsung ,"Brand Warranty,Screen size: 7"", IPS LCD capacitive touchscreen, 16M colors,OS: Android 5.1.1 (Lollipop),Processor: Quad-core 1.3 GHz Cortex-A53,RAM+ROM: 8 GB ROM, 1.5 GB RAM,Camera: Primary: 5 MP, f/2.2, autofocus + 2MP",18500,"Samsung T285 - 7"" - 8GB - 1.5GB RAM - 5MP - White - 3G",https://static.daraz.pk/C0Yx1tfLvWfOq4ImoG8P_DkXIfQ=/fit-in/220x220/filters:fill(white)/product/52/50666/1.jpg?3278
"S8 - 5.8"" - 4GB RAM - 64GB ROM - 12MP - Midnight Black",Samsung ,"Brand Warranty,Screen: 5.8 inches (~83.6% screen-to-body ratio), 1440 x 2960 pixels QHD+ (~570 ppi pixel density),Memory: 64GB, 4GB RAM,Processor: Octa-core (4x2.35 GHz Kryo & 4x1.9 GHz Kryo),OS	Android OS, v7.0",78099,"Samsung S8 - 5.8"" - 4GB RAM - 64GB ROM - 12MP - Midnight Black",https://static.daraz.pk/WI5DKO46V0YxeNgi09OQ73TCTYI=/fit-in/220x220/filters:fill(white)/product/51/36666/1.jpg?1687
"S7 Edge - 5.5"" - 4GB RAM - 128GB - 4G LTE - Black - With Gear VR",Samsung ,"Brand Warranty,Protection	Corning Gorilla Glass 4,Size	5.5 inches (~76.1% screen-to-body ratio), 440 x 2560 pixels (~534 ppi pixel density), Super AMOLED capacitive touchscreen, 16M colors,Memory: 128GB, 4 GB RAM,OS:	Android 6.0 (Marshmallow), upgradable to 7.0 (Nougat),CPU: Quad-core (2x2.15 GHz Kryo & 2x1.6 GHz Kryo) - G9350",72899,"Samsung S7 Edge - 5.5"" - 4GB RAM - 128GB - 4G LTE - Black - With Gear VR",https://static.daraz.pk/BzbBEMeX5XC-xN0hD7Qw7xaj04k=/fit-in/220x220/filters:fill(white)/product/66/26666/1.jpg?5183
"Galaxy Note 5 - 5.7"" - 32GB - 4GB RAM - 16MP - Black - 4G LTE - With 5100 mAh Battery Pack",Samsung ,"Brand Warranty,Screen Size & Type: 5.7 inches, Super AMOLED capacitive touchscreen, 16M colors,Storage + Memory Card Support: 32 GB, No Card slot,Processor + RAM: Quad-core 1.5 GHz Cortex-A53 & Quad-core 2.1 GHz Cortex-A57, 4 GB RAM,Camera (Back + Front): 16 MP, 5312 x 2988 pixels, optical image stabilization, autofocus, LED flash, Front - 5 MP,Operating System: Android OS, v5.1.1 (Lollipop)",57299,"Samsung Galaxy Note 5 - 5.7"" - 32GB - 4GB RAM - 16MP - Black - 4G LTE - With 5100 mAh Battery Pack",https://static.daraz.pk/9mgdTVB_bNrSDdL3kw6_VnTOEZI=/fit-in/220x220/filters:fill(white)/product/47/26666/1.jpg?5159
