det_features,image,title,price(PKR),det_title,brand
"Only Wifi Tablet (No Sim Supported),Type	TFT capacitive touchscreen, 16M colors,Size	9.6 inches (~73.9% screen-to-body ratio),OS	Android 5.1 (Lollipop),CPU	Quad-core 1.3 GHz,Internal	8/16 GB, 1.5 GB RAM",https://static.daraz.pk/r677PGtl0mwkEdrcqbZFHz_7RqQ=/fit-in/220x220/filters:fill(white)/product/19/24466/1.jpg?7956,"Galaxy T560 Tab E - 9.6"" - 1.5GB - 8GB - Pearl White - Wifi Only",18399,"Samsung Galaxy T560 Tab E - 9.6"" - 1.5GB - 8GB - Pearl White - Wifi Only",Samsung 
"Brand Warranty,Processor: Quad-core 1.4 GHz Cortex-A53,Storage: 1.5GB RAM With 8GB ROM,Screen: 5 Inch Full HD Display,SIM: Dual SIM,Camera: 8MP with LED Flash, 5MP front camera",https://static.daraz.pk/xr9jomroTj-nWT37mVH5wLrGk3I=/fit-in/220x220/filters:fill(white)/product/86/06846/1.jpg?4664,"Galaxy Grand Prime Plus - 5.0"" - 8GB - 1.5GB RAM - 8MP Camera - Gold",14490,"Samsung Galaxy Grand Prime Plus - 5.0"" - 8GB - 1.5GB RAM - 8MP Camera - Gold",Samsung 
"Only Wifi Tablet (No Sim Supported),Ram : 1.5GB,ROM : 8GB,Battery : 5000 MAh,Screen : 9.6 inches - 800 x 1280 pixels (~157 ppi pixel density)",https://static.daraz.pk/sKof0-rBRmgcBXD3bWSzI2czLcA=/fit-in/220x220/filters:fill(white)/product/47/31866/1.jpg?0297,"Galaxy T560 Tab E - 9.6"" - 1.5GB - 8GB - Black - WiFi  ",17899,"Samsung Galaxy T560 Tab E - 9.6"" - 1.5GB - 8GB - Black - WiFi  ",Samsung 
"OS: Android (5.1),Screen Size 7.0 inches 800 x 1280 pixels,Camera: 5 megapixels,1.5 GB RAM,8 GB STORAGE,BATTERY 4000 mAh",https://static.daraz.pk/Qyg2596ork-u52FTdBsRbbtwK74=/fit-in/220x220/filters:fill(white)/product/53/61866/1.jpg?2633,"Galaxy T280 - Tab A 7"" - 5MP - White",14999,"Samsung Galaxy T280 - Tab A 7"" - 5MP - White",Samsung 
"No Warranty,Only Wifi Tablet (No Sim Supported),Ram : 1.5GB,ROM : 8GB,Battery : 5000 MAh,Screen : 9.6 inches - 800 x 1280 pixels (~157 ppi pixel
density)",https://static.daraz.pk/e6Px9yuRlD7WKDg3xKCC4ZLI7ks=/fit-in/220x220/filters:fill(white)/product/42/89766/1.jpg?6079,Galaxy Tab E - T560 - 9.6 Inch - 1.5GB RAM - 8GB ROM - Wifi - White,18390,Samsung Galaxy Tab E - T560 - 9.6 Inch - 1.5GB RAM - 8GB ROM - Wifi - White,Samsung 
"Brand Warranty,Screen Size & Type: 4.5"" TFT capacitive touchscreen, 16M colors,Storage + Memory Support: 8GB HDD, microSD up to 128GB,Camera (Back + Front): 5MP (back) + 2MP (front),Processor + RAM:Quad-core 1.3 GHz Cortex-A7 , 1GB RAM,Operating System: Android OS, v5.1.1 (Lollipop)",https://static.daraz.pk/nuDiP4mMaUDPpdOa9q6RPLlhjVc=/fit-in/220x220/filters:fill(white)/product/89/38166/1.jpg?4524,"Galaxy J1 J120F - 4.5"" - 8GB - 1GB RAM - 5MP Camera - Gold",11499,"Samsung Galaxy J1 J120F - 4.5"" - 8GB - 1GB RAM - 5MP Camera - Gold",Samsung 
"Versions: T280 (Wi-Fi only);,NETWORK	Technology,LAUNCH	Announced	2016, March,Status	Available. Released 2016, March,BODY	Dimensions	186.9 x 108.8 x 8.7 mm (7.36 x 4.28 x 0.34 in),Weight	283 g (9.98 oz)",https://static.daraz.pk/21Klgyk9YN95lXkWXLI7dcI1DMU=/fit-in/220x220/filters:fill(white)/product/47/63266/1.jpg?3050,"Galaxy Tab A - 7.0"" - 1.5GB - 8GB - Wi-Fi - Black",14999,"Samsung Galaxy Tab A - 7.0"" - 1.5GB - 8GB - Wi-Fi - Black",Samsung 
"Brand Warranty,Screen size: 7"", IPS LCD capacitive touchscreen, 16M colors,OS: Android 5.1.1 (Lollipop),Processor: Quad-core 1.3 GHz Cortex-A53,RAM+ROM: 8 GB ROM, 1.5 GB RAM,Camera: Primary: 5 MP, f/2.2, autofocus + 2MP",https://static.daraz.pk/C0Yx1tfLvWfOq4ImoG8P_DkXIfQ=/fit-in/220x220/filters:fill(white)/product/52/50666/1.jpg?3278,"T285 - 7"" - 8GB - 1.5GB RAM - 5MP - White - 3G",18500,"Samsung T285 - 7"" - 8GB - 1.5GB RAM - 5MP - White - 3G",Samsung 
,https://static.daraz.pk/dTHCntKyVlKztn0WDMnWRV2g3mg=/fit-in/220x220/filters:fill(white)/product/57/44956/1.jpg?8139,"Galaxy Tab A (2016) - 7"" - SM-T285 - Black",21000,"Samsung Galaxy Tab A (2016) - 7"" - SM-T285 - Black",Samsung 
"Brand Warranty,Screen size: 7"",Qualcomm MSM8916 Snapdragon 410,Quad-core 1.3 GHz Cortex-A53,RAM+ROM: 8 GB ROM, 1.5 GB RAM,IPS LCD capacitive touchscreen, 16M colors",https://static.daraz.pk/VKoBJ3H6xlnc3xkOsDvIFPK_1oY=/fit-in/220x220/filters:fill(white)/product/71/50666/1.jpg?6138,"T285 - 7"" - 8GB ROM -1.5GB RAM - White",17799,"Samsung T285 - 7"" - 8GB ROM -1.5GB RAM - White",Samsung 
