[u'http://www.daraz.pk/', u'Daraz']
[u'http://www.jovago.net', u'Jovago']
[u'http://www.lamudi.pk/', u'Lamudi']
[u'https://www.daraz.pk/en/catalog/?q=samsung', u'English']
[u'https://www.daraz.pk/ur/catalog/?q=samsung', u'Urdu']
[u'https://www.daraz.pk/womens-fashion/', u"  Women's Fashion  "]
[u'https://www.daraz.pk/phones-tablets/', u'  Phones & Tablets  ']
[u'https://www.daraz.pk/mens-fashion/', u"  Men's Fashion  "]
[u'https://www.daraz.pk/beauty-health/', u'  Beauty & Health  ']
[u'https://www.daraz.pk/home-appliances/', u'  Appliances  ']
[u'https://www.daraz.pk/computing-gaming/', u'  Computing & Gaming  ']
[u'https://www.daraz.pk/tvs-audio-cameras/', u'  TVs, Audio & Cameras  ']
[u'https://www.daraz.pk/home-living/', u'  Home & Living  ']
[u'https://www.daraz.pk/sports-travel/', u'  Sports & Travel  ']
[u'https://www.daraz.pk/baby-toys-kids/', u'  Baby, Toys & Kids  ']
[u'https://www.daraz.pk/grocers-shop/', u"  Grocer's Shop  "]
[u'https://www.daraz.pk/', u'Daraz.pk \u2013 online shopping in country for electronics, mobiles, fashion & more']
[u'https://www.daraz.pk/cart/', u'   Cart ']
[u'https://www.daraz.pk/customer/account/login/', u'      ']
[u'https://www.daraz.pk/ajax/account/', u' Login ']
[u'https://www.daraz.pk/phones-tablets/?q=samsung', u' Phones & Tablets (24371)']
[u'https://www.daraz.pk/computing-gaming/?q=samsung', u' Computing & Gaming (221)']
[u'https://www.daraz.pk/tvs-audio-cameras/?q=samsung', u' TVs, Audio & Cameras (190)']
[u'https://www.daraz.pk/sports-travel/?q=samsung', u' Sports & Travel (61)']
[u'https://www.daraz.pk/beauty-health/?q=samsung', u' Beauty & Health (46)']
[u'https://www.daraz.pk/automotive-motorcycles/?q=samsung', u' Automotive & Motorcycles (30)']
[u'https://www.daraz.pk/home-appliances/?q=samsung', u' Appliances (20)']
[u'https://www.daraz.pk/bachat-bazaar-shop/?q=samsung', u' Bachat Bazaar (9)']
[u'https://www.daraz.pk/mens-fashion/?q=samsung', u" Men's Fashion (6)"]
[u'https://www.daraz.pk/home-living/?q=samsung', u' Home & Living (5)']
[u'https://www.daraz.pk/baby-toys-kids/?q=samsung', u' Baby, Toys & Kids (4)']
[u'https://www.daraz.pk/lifestyle-accessories/?q=samsung', u' Lifestyle Accessories (3)']
[u'https://www.daraz.pk/books-stationery/?q=samsung', u' Books & Stationery (1)']
[u'https://www.daraz.pk/catalog/?q=samsung&jumia_recommended=jumia_first', u'        (148)']
[u'https://www.daraz.pk/catalog/?q=samsung&rating=4-5', u'   & Up (2543)']
[u'https://www.daraz.pk/catalog/?q=samsung&rating=3-5', u'   & Up (2949)']
[u'https://www.daraz.pk/catalog/?q=samsung&rating=2-5', u'   & Up (3049)']
[u'https://www.daraz.pk/catalog/?q=samsung&rating=1-5', u'   & Up (3286)']
[u'https://www.daraz.pk/decor-today/?q=samsung', u'decor today']
[u'https://www.daraz.pk/samsung/?q=samsung', u'Samsung']
[u'https://www.daraz.pk/techup-accessories/?q=samsung', u'Techup Accessories']
[u'https://www.daraz.pk/remax/?q=samsung', u'Remax']
[u'https://www.daraz.pk/mobiles-shop/?q=samsung', u'Mobiles Shop']
[u'https://www.daraz.pk/aronline/?q=samsung', u'AR Online']
[u'https://www.daraz.pk/the-speed-grade/?q=samsung', u'The Speed Grade']
[u'https://www.daraz.pk/igemnic/?q=samsung', u'Igemnic']
[u'https://www.daraz.pk/hkt/?q=samsung', u'HKT']
[u'https://www.daraz.pk/phone-zone/?q=samsung', u'Phone Zone']
[u'https://www.daraz.pk/floveme/?q=samsung', u'Floveme']
[u'https://www.daraz.pk/my/?q=samsung', u'MY']
[u'https://www.daraz.pk/hippo/?q=samsung', u'Hippo']
[u'https://www.daraz.pk/promate/?q=samsung', u'PROMATE']
[u'https://www.daraz.pk/a-r-accessories/?q=samsung', u'A R Accessories']
[u'https://www.daraz.pk/aargon/?q=samsung', u'Aargon']
[u'https://www.daraz.pk/electrotech/?q=samsung', u'Electrotech']
[u'https://www.daraz.pk/huawei/?q=samsung', u'Huawei']
[u'https://www.daraz.pk/romoss/?q=samsung', u'Romoss']
[u'https://www.daraz.pk/noor-mobile/?q=samsung', u'Noor mobile']
[u'https://www.daraz.pk/daily-deals/?q=samsung', u'Daily Deals']
[u'https://www.daraz.pk/infinix/?q=samsung', u'Infinix']
[u'https://www.daraz.pk/nillkin/?q=samsung', u'NILLKIN']
[u'https://www.daraz.pk/maujtech/?q=samsung', u'MaujTech']
[u'https://www.daraz.pk/punjab-electronics/?q=samsung', u'Punjab Electronics']
[u'https://www.daraz.pk/anker/?q=samsung', u'Anker']
[u'https://www.daraz.pk/targus/?q=samsung', u'Targus']
[u'https://www.daraz.pk/p-a/?q=samsung', u'P.A']
[u'https://www.daraz.pk/tech-land/?q=samsung', u'Tech Land']
[u'https://www.daraz.pk/baseus/?q=samsung', u'Baseus']
[u'https://www.daraz.pk/biz-smart-collections/?q=samsung', u'Biz Smart Collections']
[u'https://www.daraz.pk/infinity/?q=samsung', u'Infinity']
[u'https://www.daraz.pk/rauf-mobile/?q=samsung', u'Rauf Mobile']
